[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/omnetpp.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 604, READ INSTS: 61, LAST WRITE DURATION: 221, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.73303
READ DURATION: 454, READ INSTS: 43, LAST WRITE DURATION: 323, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.40557
READ DURATION: 635, READ INSTS: 61, LAST WRITE DURATION: 258, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.46124
READ DURATION: 653, READ INSTS: 66, LAST WRITE DURATION: 224, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.91518
READ DURATION: 937, READ INSTS: 105, LAST WRITE DURATION: 359, LAST WRITE INSTS: 37, R/W DURATION RATIO: 2.61003
READ DURATION: 620, READ INSTS: 42, LAST WRITE DURATION: 206, LAST WRITE INSTS: 30, R/W DURATION RATIO: 3.00971
READ DURATION: 423, READ INSTS: 35, LAST WRITE DURATION: 345, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.22609
WAITED CYCLES: 20
READ DURATION: 706, READ INSTS: 74, LAST WRITE DURATION: 258, LAST WRITE INSTS: 33, R/W DURATION RATIO: 2.73643
READ DURATION: 486, READ INSTS: 52, LAST WRITE DURATION: 297, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.63636
READ DURATION: 718, READ INSTS: 71, LAST WRITE DURATION: 209, LAST WRITE INSTS: 20, R/W DURATION RATIO: 3.43541
READ DURATION: 841, READ INSTS: 87, LAST WRITE DURATION: 1779, LAST WRITE INSTS: 35, R/W DURATION RATIO: 0.472737
WAITED CYCLES: 1446
READ DURATION: 398, READ INSTS: 40, LAST WRITE DURATION: 327, LAST WRITE INSTS: 42, R/W DURATION RATIO: 1.21713
WAITED CYCLES: 22
READ DURATION: 529, READ INSTS: 46, LAST WRITE DURATION: 251, LAST WRITE INSTS: 19, R/W DURATION RATIO: 2.10757
READ DURATION: 529, READ INSTS: 53, LAST WRITE DURATION: 262, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.01908
READ DURATION: 534, READ INSTS: 57, LAST WRITE DURATION: 321, LAST WRITE INSTS: 37, R/W DURATION RATIO: 1.66355
READ DURATION: 480, READ INSTS: 42, LAST WRITE DURATION: 195, LAST WRITE INSTS: 20, R/W DURATION RATIO: 2.46154
READ DURATION: 512, READ INSTS: 54, LAST WRITE DURATION: 273, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.87546
READ DURATION: 500, READ INSTS: 44, LAST WRITE DURATION: 252, LAST WRITE INSTS: 20, R/W DURATION RATIO: 1.98413
READ DURATION: 426, READ INSTS: 37, LAST WRITE DURATION: 258, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.65116
READ DURATION: 525, READ INSTS: 53, LAST WRITE DURATION: 267, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.96629
READ DURATION: 639, READ INSTS: 64, LAST WRITE DURATION: 269, LAST WRITE INSTS: 24, R/W DURATION RATIO: 2.37546
READ DURATION: 510, READ INSTS: 50, LAST WRITE DURATION: 470, LAST WRITE INSTS: 40, R/W DURATION RATIO: 1.08511
WAITED CYCLES: 94
READ DURATION: 511, READ INSTS: 48, LAST WRITE DURATION: 246, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.07724
READ DURATION: 1991, READ INSTS: 57, LAST WRITE DURATION: 150, LAST WRITE INSTS: 25, R/W DURATION RATIO: 13.2733
READ DURATION: 388, READ INSTS: 36, LAST WRITE DURATION: 240, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.61667
READ DURATION: 561, READ INSTS: 58, LAST WRITE DURATION: 255, LAST WRITE INSTS: 36, R/W DURATION RATIO: 2.2
READ DURATION: 453, READ INSTS: 46, LAST WRITE DURATION: 313, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.44728
READ DURATION: 513, READ INSTS: 50, LAST WRITE DURATION: 312, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.64423
READ DURATION: 495, READ INSTS: 51, LAST WRITE DURATION: 238, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.07983
READ DURATION: 563, READ INSTS: 51, LAST WRITE DURATION: 282, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.99645
READ DURATION: 385, READ INSTS: 29, LAST WRITE DURATION: 247, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.5587
READ DURATION: 547, READ INSTS: 52, LAST WRITE DURATION: 286, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.91259
READ DURATION: 444, READ INSTS: 36, LAST WRITE DURATION: 220, LAST WRITE INSTS: 18, R/W DURATION RATIO: 2.01818
READ DURATION: 901, READ INSTS: 90, LAST WRITE DURATION: 277, LAST WRITE INSTS: 29, R/W DURATION RATIO: 3.25271
