[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/cactuBSSN.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 400, READ INSTS: 44, LAST WRITE DURATION: 216, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.85185
READ DURATION: 589, READ INSTS: 62, LAST WRITE DURATION: 261, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.2567
READ DURATION: 494, READ INSTS: 53, LAST WRITE DURATION: 369, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.33875
READ DURATION: 429, READ INSTS: 41, LAST WRITE DURATION: 261, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.64368
READ DURATION: 829, READ INSTS: 84, LAST WRITE DURATION: 253, LAST WRITE INSTS: 17, R/W DURATION RATIO: 3.27668
READ DURATION: 2070, READ INSTS: 109, LAST WRITE DURATION: 237, LAST WRITE INSTS: 39, R/W DURATION RATIO: 8.73418
READ DURATION: 3331, READ INSTS: 156, LAST WRITE DURATION: 1621, LAST WRITE INSTS: 14, R/W DURATION RATIO: 4.24872
READ DURATION: 1934, READ INSTS: 125, LAST WRITE DURATION: 171, LAST WRITE INSTS: 33, R/W DURATION RATIO: 11.3099
READ DURATION: 2303, READ INSTS: 125, LAST WRITE DURATION: 154, LAST WRITE INSTS: 24, R/W DURATION RATIO: 14.9545
READ DURATION: 2252, READ INSTS: 131, LAST WRITE DURATION: 270, LAST WRITE INSTS: 41, R/W DURATION RATIO: 8.34074
READ DURATION: 3863, READ INSTS: 188, LAST WRITE DURATION: 282, LAST WRITE INSTS: 29, R/W DURATION RATIO: 13.6986
READ DURATION: 1549, READ INSTS: 168, LAST WRITE DURATION: 240, LAST WRITE INSTS: 28, R/W DURATION RATIO: 6.45417
READ DURATION: 2062, READ INSTS: 205, LAST WRITE DURATION: 270, LAST WRITE INSTS: 33, R/W DURATION RATIO: 7.63704
