[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/fotonik3d.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 1965, READ INSTS: 54, LAST WRITE DURATION: 242, LAST WRITE INSTS: 23, R/W DURATION RATIO: 8.11983
READ DURATION: 479, READ INSTS: 45, LAST WRITE DURATION: 314, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.52548
READ DURATION: 519, READ INSTS: 54, LAST WRITE DURATION: 303, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.71287
READ DURATION: 667, READ INSTS: 70, LAST WRITE DURATION: 255, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.61569
READ DURATION: 565, READ INSTS: 60, LAST WRITE DURATION: 228, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.47807
READ DURATION: 526, READ INSTS: 58, LAST WRITE DURATION: 278, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.89209
READ DURATION: 492, READ INSTS: 55, LAST WRITE DURATION: 228, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.15789
READ DURATION: 483, READ INSTS: 52, LAST WRITE DURATION: 284, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.7007
READ DURATION: 503, READ INSTS: 41, LAST WRITE DURATION: 229, LAST WRITE INSTS: 15, R/W DURATION RATIO: 2.19651
READ DURATION: 447, READ INSTS: 39, LAST WRITE DURATION: 232, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.92672
READ DURATION: 353, READ INSTS: 30, LAST WRITE DURATION: 239, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.47699
READ DURATION: 391, READ INSTS: 34, LAST WRITE DURATION: 244, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.60246
READ DURATION: 489, READ INSTS: 47, LAST WRITE DURATION: 265, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.84528
READ DURATION: 425, READ INSTS: 42, LAST WRITE DURATION: 292, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.45548
READ DURATION: 387, READ INSTS: 41, LAST WRITE DURATION: 261, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.48276
READ DURATION: 1882, READ INSTS: 45, LAST WRITE DURATION: 187, LAST WRITE INSTS: 22, R/W DURATION RATIO: 10.0642
READ DURATION: 478, READ INSTS: 41, LAST WRITE DURATION: 197, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.4264
READ DURATION: 405, READ INSTS: 36, LAST WRITE DURATION: 214, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.89252
READ DURATION: 424, READ INSTS: 41, LAST WRITE DURATION: 279, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.51971
READ DURATION: 366, READ INSTS: 34, LAST WRITE DURATION: 280, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.30714
READ DURATION: 366, READ INSTS: 35, LAST WRITE DURATION: 286, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.27972
READ DURATION: 368, READ INSTS: 32, LAST WRITE DURATION: 221, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.66516
READ DURATION: 664, READ INSTS: 66, LAST WRITE DURATION: 203, LAST WRITE INSTS: 24, R/W DURATION RATIO: 3.27094
READ DURATION: 694, READ INSTS: 72, LAST WRITE DURATION: 223, LAST WRITE INSTS: 29, R/W DURATION RATIO: 3.11211
READ DURATION: 585, READ INSTS: 62, LAST WRITE DURATION: 255, LAST WRITE INSTS: 33, R/W DURATION RATIO: 2.29412
READ DURATION: 633, READ INSTS: 65, LAST WRITE DURATION: 266, LAST WRITE INSTS: 25, R/W DURATION RATIO: 2.3797
READ DURATION: 713, READ INSTS: 76, LAST WRITE DURATION: 327, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.18043
READ DURATION: 521, READ INSTS: 59, LAST WRITE DURATION: 318, LAST WRITE INSTS: 32, R/W DURATION RATIO: 1.63836
READ DURATION: 695, READ INSTS: 74, LAST WRITE DURATION: 268, LAST WRITE INSTS: 20, R/W DURATION RATIO: 2.59328
READ DURATION: 2037, READ INSTS: 63, LAST WRITE DURATION: 253, LAST WRITE INSTS: 26, R/W DURATION RATIO: 8.05138
READ DURATION: 580, READ INSTS: 61, LAST WRITE DURATION: 326, LAST WRITE INSTS: 30, R/W DURATION RATIO: 1.77914
READ DURATION: 615, READ INSTS: 67, LAST WRITE DURATION: 254, LAST WRITE INSTS: 29, R/W DURATION RATIO: 2.42126
READ DURATION: 580, READ INSTS: 63, LAST WRITE DURATION: 243, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.38683
READ DURATION: 670, READ INSTS: 77, LAST WRITE DURATION: 239, LAST WRITE INSTS: 31, R/W DURATION RATIO: 2.80335
READ DURATION: 689, READ INSTS: 69, LAST WRITE DURATION: 248, LAST WRITE INSTS: 18, R/W DURATION RATIO: 2.77823
READ DURATION: 891, READ INSTS: 100, LAST WRITE DURATION: 299, LAST WRITE INSTS: 31, R/W DURATION RATIO: 2.97993
READ DURATION: 772, READ INSTS: 88, LAST WRITE DURATION: 211, LAST WRITE INSTS: 31, R/W DURATION RATIO: 3.65877
READ DURATION: 630, READ INSTS: 71, LAST WRITE DURATION: 308, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.04545
READ DURATION: 631, READ INSTS: 75, LAST WRITE DURATION: 317, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.99054
READ DURATION: 696, READ INSTS: 72, LAST WRITE DURATION: 299, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.32776
READ DURATION: 594, READ INSTS: 65, LAST WRITE DURATION: 356, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.66854
READ DURATION: 2004, READ INSTS: 62, LAST WRITE DURATION: 294, LAST WRITE INSTS: 26, R/W DURATION RATIO: 6.81633
READ DURATION: 852, READ INSTS: 89, LAST WRITE DURATION: 267, LAST WRITE INSTS: 19, R/W DURATION RATIO: 3.19101
READ DURATION: 758, READ INSTS: 81, LAST WRITE DURATION: 272, LAST WRITE INSTS: 35, R/W DURATION RATIO: 2.78676
READ DURATION: 751, READ INSTS: 82, LAST WRITE DURATION: 320, LAST WRITE INSTS: 23, R/W DURATION RATIO: 2.34687
READ DURATION: 742, READ INSTS: 76, LAST WRITE DURATION: 309, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.40129
READ DURATION: 845, READ INSTS: 96, LAST WRITE DURATION: 218, LAST WRITE INSTS: 32, R/W DURATION RATIO: 3.87615
READ DURATION: 689, READ INSTS: 75, LAST WRITE DURATION: 291, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.3677
READ DURATION: 706, READ INSTS: 74, LAST WRITE DURATION: 256, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.75781
READ DURATION: 627, READ INSTS: 66, LAST WRITE DURATION: 284, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.20775
READ DURATION: 404, READ INSTS: 41, LAST WRITE DURATION: 248, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.62903
READ DURATION: 391, READ INSTS: 39, LAST WRITE DURATION: 230, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.7
READ DURATION: 534, READ INSTS: 52, LAST WRITE DURATION: 251, LAST WRITE INSTS: 23, R/W DURATION RATIO: 2.12749
READ DURATION: 1828, READ INSTS: 42, LAST WRITE DURATION: 302, LAST WRITE INSTS: 35, R/W DURATION RATIO: 6.05298
READ DURATION: 378, READ INSTS: 40, LAST WRITE DURATION: 308, LAST WRITE INSTS: 25, R/W DURATION RATIO: 1.22727
READ DURATION: 367, READ INSTS: 31, LAST WRITE DURATION: 313, LAST WRITE INSTS: 21, R/W DURATION RATIO: 1.17252
READ DURATION: 404, READ INSTS: 41, LAST WRITE DURATION: 311, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.29904
READ DURATION: 282, READ INSTS: 29, LAST WRITE DURATION: 253, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.11462
READ DURATION: 454, READ INSTS: 44, LAST WRITE DURATION: 304, LAST WRITE INSTS: 24, R/W DURATION RATIO: 1.49342
READ DURATION: 383, READ INSTS: 43, LAST WRITE DURATION: 208, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.84135
READ DURATION: 437, READ INSTS: 42, LAST WRITE DURATION: 190, LAST WRITE INSTS: 21, R/W DURATION RATIO: 2.3
READ DURATION: 369, READ INSTS: 35, LAST WRITE DURATION: 264, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.39773
READ DURATION: 396, READ INSTS: 41, LAST WRITE DURATION: 249, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.59036
READ DURATION: 487, READ INSTS: 48, LAST WRITE DURATION: 293, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.66212
READ DURATION: 625, READ INSTS: 70, LAST WRITE DURATION: 317, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.97161
READ DURATION: 553, READ INSTS: 58, LAST WRITE DURATION: 278, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.98921
READ DURATION: 655, READ INSTS: 76, LAST WRITE DURATION: 288, LAST WRITE INSTS: 29, R/W DURATION RATIO: 2.27431
READ DURATION: 423, READ INSTS: 41, LAST WRITE DURATION: 271, LAST WRITE INSTS: 26, R/W DURATION RATIO: 1.56089
READ DURATION: 1926, READ INSTS: 41, LAST WRITE DURATION: 210, LAST WRITE INSTS: 16, R/W DURATION RATIO: 9.17143
READ DURATION: 407, READ INSTS: 37, LAST WRITE DURATION: 250, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.628
READ DURATION: 545, READ INSTS: 47, LAST WRITE DURATION: 121, LAST WRITE INSTS: 18, R/W DURATION RATIO: 4.50413
READ DURATION: 474, READ INSTS: 46, LAST WRITE DURATION: 208, LAST WRITE INSTS: 34, R/W DURATION RATIO: 2.27885
READ DURATION: 367, READ INSTS: 41, LAST WRITE DURATION: 318, LAST WRITE INSTS: 33, R/W DURATION RATIO: 1.15409
READ DURATION: 407, READ INSTS: 38, LAST WRITE DURATION: 240, LAST WRITE INSTS: 22, R/W DURATION RATIO: 1.69583
